epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.931,1.1499,2.64593,1.51564,0.53941,0.52915,0.52157,0.29667,1.37676,1.99094,1.78232,0.000368687,0.000368687,0.000368687
2,278.745,1.17112,1.96577,1.52987,0.55401,0.4096,0.43462,0.22356,1.57969,2.09487,2.10583,0.000731704,0.000731704,0.000731704
3,384.55,1.19356,1.84892,1.55395,0.4777,0.46269,0.45903,0.28239,1.26059,1.86512,1.70864,0.00108739,0.00108739,0.00108739
4,490.893,1.18446,1.73536,1.54109,0.56956,0.45958,0.50471,0.28545,1.4982,1.89407,1.967,0.001078,0.001078,0.001078
5,596.269,1.15752,1.60165,1.51989,0.57485,0.5732,0.56506,0.38633,1.11044,1.57417,1.55517,0.001067,0.001067,0.001067
6,703.903,1.14371,1.51852,1.50593,0.46449,0.57185,0.55871,0.36008,1.17148,1.6842,1.60959,0.00105601,0.00105601,0.00105601
7,808.372,1.11253,1.46691,1.48548,0.54307,0.56157,0.55521,0.36272,1.18137,1.60492,1.59472,0.00104501,0.00104501,0.00104501
8,914.701,1.09246,1.39618,1.45885,0.58852,0.58274,0.62039,0.42281,1.02892,1.41501,1.49523,0.00103401,0.00103401,0.00103401
9,1019.01,1.07682,1.35362,1.45367,0.685,0.60804,0.65218,0.4608,1.05221,1.28724,1.51114,0.00102301,0.00102301,0.00102301
10,1125.85,1.05324,1.29561,1.44102,0.70153,0.66407,0.72704,0.50868,1.09445,1.12766,1.51092,0.00101201,0.00101201,0.00101201
11,1230.68,1.04742,1.29616,1.43265,0.6852,0.61789,0.70886,0.49827,0.99403,1.18767,1.42295,0.00100101,0.00100101,0.00100101
12,1336.05,1.033,1.26672,1.42952,0.68142,0.64864,0.72293,0.52691,0.99346,1.19723,1.41544,0.000990012,0.000990012,0.000990012
13,1441.16,1.02938,1.2288,1.41612,0.75414,0.67209,0.77076,0.56524,0.95101,0.99417,1.37196,0.000979013,0.000979013,0.000979013
14,1547.59,1.01232,1.18061,1.40259,0.7953,0.66063,0.78114,0.56538,0.98736,1.00896,1.42321,0.000968014,0.000968014,0.000968014
15,1652.63,0.99465,1.15,1.39641,0.74007,0.64306,0.73404,0.51798,0.992,1.07843,1.40671,0.000957015,0.000957015,0.000957015
16,1758.34,0.99143,1.1167,1.39537,0.76231,0.67068,0.76173,0.56326,0.90075,1.05566,1.33607,0.000946016,0.000946016,0.000946016
17,1862.08,0.98911,1.13463,1.38604,0.75731,0.65688,0.74774,0.56089,0.8837,1.05049,1.32322,0.000935018,0.000935018,0.000935018
18,1967.77,0.99677,1.1428,1.38835,0.75144,0.69263,0.778,0.57519,0.93854,0.94422,1.36774,0.000924019,0.000924019,0.000924019
19,2072.04,0.97697,1.09187,1.37702,0.72749,0.70779,0.76362,0.57322,0.91442,1.02348,1.35778,0.00091302,0.00091302,0.00091302
20,2177.02,0.96678,1.0582,1.37277,0.76087,0.69437,0.77877,0.58256,0.90387,1.03148,1.33491,0.000902021,0.000902021,0.000902021
21,2282.44,0.95416,1.02509,1.35464,0.75915,0.70319,0.77782,0.5933,0.86729,0.94827,1.31256,0.000891022,0.000891022,0.000891022
22,2388.57,0.93596,0.98894,1.34945,0.82556,0.71264,0.82234,0.6156,0.9002,0.87926,1.3431,0.000880023,0.000880023,0.000880023
23,2491.39,0.94003,1.00055,1.34407,0.79366,0.75526,0.82564,0.61867,0.88445,0.87044,1.31363,0.000869024,0.000869024,0.000869024
