epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.648,1.1396,2.52777,1.57255,0.31905,0.45385,0.33082,0.17761,1.33295,2.73006,1.9099,0.000369482,0.000369482,0.000369482
2,270.145,1.18152,2.06507,1.60058,0.40236,0.4401,0.41156,0.15934,1.84497,2.21969,2.51219,0.000728547,0.000728547,0.000728547
3,394.987,1.20449,1.95444,1.6096,0.56539,0.53411,0.54639,0.33186,1.26183,1.86009,1.78958,0.00107633,0.00107633,0.00107633
4,517.424,1.17,1.86882,1.58913,0.55615,0.50046,0.5314,0.25698,1.55184,1.83186,2.12818,0.00106024,0.00106024,0.00106024
5,641.506,1.13624,1.7485,1.55768,0.4566,0.45163,0.42832,0.24123,1.31633,1.97467,1.82605,0.00104331,0.00104331,0.00104331
6,763.996,1.12197,1.70232,1.54193,0.58264,0.54939,0.58584,0.34275,1.2574,1.75967,1.78458,0.00102639,0.00102639,0.00102639
7,887.823,1.09471,1.64103,1.52666,0.68884,0.59836,0.66646,0.41904,1.20673,1.42669,1.71762,0.00100947,0.00100947,0.00100947
8,1009.92,1.07035,1.57137,1.50759,0.6865,0.60101,0.67119,0.4217,1.22487,1.46886,1.74083,0.00099255,0.00099255,0.00099255
9,1134.86,1.05112,1.52413,1.49207,0.71011,0.59024,0.68322,0.4528,1.08855,1.34044,1.59808,0.000975629,0.000975629,0.000975629
10,1259.08,1.04054,1.47928,1.48263,0.6652,0.58874,0.64395,0.40849,1.1723,1.44315,1.66057,0.000958708,0.000958708,0.000958708
11,1381.19,1.03416,1.43987,1.47874,0.72278,0.64032,0.70893,0.44666,1.19816,1.22772,1.7244,0.000941786,0.000941786,0.000941786
12,1505.04,1.02141,1.42711,1.46995,0.77947,0.64777,0.74977,0.51338,1.05705,1.16911,1.54981,0.000924865,0.000924865,0.000924865
13,1628.84,1.01476,1.38701,1.46758,0.82957,0.6804,0.7835,0.53388,1.04835,1.09116,1.54708,0.000907943,0.000907943,0.000907943
14,1752.22,0.9914,1.33489,1.44709,0.81853,0.68647,0.78574,0.52594,1.08963,1.07614,1.58461,0.000891022,0.000891022,0.000891022
15,1874.23,0.98886,1.3207,1.44125,0.75035,0.66048,0.73771,0.49881,1.06791,1.18023,1.57098,0.000874101,0.000874101,0.000874101
16,1998.17,0.97645,1.30289,1.4356,0.80036,0.70935,0.79354,0.54584,1.00974,1.05276,1.50242,0.000857179,0.000857179,0.000857179
17,2124.13,0.95992,1.26495,1.42988,0.78389,0.7017,0.78496,0.53806,1.05613,1.06099,1.55448,0.000840258,0.000840258,0.000840258
18,2247.77,0.96589,1.26485,1.42894,0.83596,0.69649,0.80097,0.54318,1.07056,1.02762,1.54672,0.000823336,0.000823336,0.000823336
19,2371.79,0.95703,1.23603,1.4159,0.78554,0.67025,0.75985,0.4968,1.13572,1.11074,1.63222,0.000806415,0.000806415,0.000806415
20,2495.2,0.94048,1.21645,1.40913,0.79964,0.73363,0.80762,0.54191,1.07822,1.00315,1.57694,0.000789494,0.000789494,0.000789494
21,2621.24,0.95427,1.20686,1.41323,0.83985,0.71879,0.80559,0.5335,1.11941,1.02276,1.62719,0.000772572,0.000772572,0.000772572
22,2744.89,0.94463,1.16649,1.4059,0.79356,0.71235,0.78235,0.53621,1.03874,1.04861,1.52851,0.000755651,0.000755651,0.000755651
23,2870.2,0.92726,1.14652,1.39551,0.83278,0.72949,0.81305,0.5702,1.03755,0.93669,1.53659,0.00073873,0.00073873,0.00073873
24,2995.09,0.9219,1.1228,1.39305,0.81005,0.71016,0.791,0.53817,1.1062,1.00721,1.59642,0.000721808,0.000721808,0.000721808
25,3118.57,0.91386,1.11646,1.38535,0.84055,0.71421,0.80003,0.55301,1.03811,0.96549,1.5164,0.000704887,0.000704887,0.000704887
26,3242.99,0.91639,1.10247,1.38362,0.8382,0.7138,0.81649,0.56981,1.04046,0.92459,1.51089,0.000687965,0.000687965,0.000687965
27,3368.41,0.90074,1.07159,1.3743,0.86689,0.73007,0.82751,0.58195,1.04883,0.89516,1.54147,0.000671044,0.000671044,0.000671044
28,3491.34,0.90846,1.07049,1.38039,0.81941,0.7288,0.81164,0.57237,1.01217,0.92666,1.51114,0.000654123,0.000654123,0.000654123
29,3615.39,0.89941,1.05773,1.36902,0.84116,0.73953,0.82364,0.58213,1.00686,0.88071,1.5063,0.000637201,0.000637201,0.000637201
30,3740.39,0.8928,1.04198,1.36697,0.86714,0.70921,0.80835,0.55039,1.07051,0.93405,1.58274,0.00062028,0.00062028,0.00062028
31,3863.16,0.8805,1.03087,1.35701,0.82663,0.72194,0.81643,0.57451,1.00603,0.91612,1.48687,0.000603358,0.000603358,0.000603358
32,3988.86,0.87827,1.01935,1.36021,0.83572,0.73923,0.81975,0.58479,1.00168,0.88321,1.50348,0.000586437,0.000586437,0.000586437
