epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.8,1.31042,2.03805,1.61976,0.51924,0.42455,0.40587,0.26525,1.35588,1.98244,1.64597,0.0668767,0.000166449,0.000166449
2,450.114,1.20534,1.75133,1.54647,0.56619,0.46212,0.48293,0.30286,1.33073,1.75893,1.62656,0.0337068,0.000329817,0.000329817
3,678.656,1.17534,1.67659,1.51926,0.63793,0.51495,0.542,0.35998,1.24132,1.48487,1.53604,0.000533516,0.000489886,0.000489886
4,1190.98,1.11196,1.54862,1.47389,0.69976,0.53047,0.61337,0.42523,1.15839,1.32522,1.4519,0.00048515,0.00048515,0.00048515
5,1409.37,1.05963,1.43708,1.43234,0.66762,0.56955,0.61424,0.42897,1.10293,1.2879,1.40586,0.0004802,0.0004802,0.0004802
6,1782.39,1.04015,1.36911,1.41315,0.7264,0.58946,0.65257,0.46367,1.09388,1.22561,1.40404,0.00047525,0.00047525,0.00047525
7,2001.41,1.01382,1.31298,1.39887,0.71168,0.58864,0.64998,0.46721,1.04,1.21513,1.36411,0.0004703,0.0004703,0.0004703
8,2760.18,0.99493,1.26981,1.38177,0.75829,0.59817,0.68239,0.4965,1.00765,1.10314,1.35934,0.00046535,0.00046535,0.00046535
9,2978.43,0.97672,1.22568,1.36757,0.71081,0.60206,0.6666,0.48895,1.00005,1.12306,1.32147,0.0004604,0.0004604,0.0004604
10,3196.71,0.96071,1.19868,1.3551,0.74477,0.60474,0.69725,0.51512,0.98073,1.06106,1.31357,0.00045545,0.00045545,0.00045545
11,3456.84,0.95395,1.16555,1.34899,0.75683,0.60468,0.6974,0.51539,0.95737,1.05975,1.2996,0.0004505,0.0004505,0.0004505
12,3677.94,0.93358,1.13931,1.33697,0.7814,0.62419,0.7163,0.53299,0.9263,1.01719,1.26924,0.00044555,0.00044555,0.00044555
13,3898.71,0.92419,1.11721,1.33152,0.75181,0.6103,0.69462,0.52071,0.93545,1.04132,1.2748,0.0004406,0.0004406,0.0004406
14,4209.08,0.91957,1.09197,1.32166,0.77816,0.6225,0.71339,0.52969,0.92262,1.00617,1.27753,0.00043565,0.00043565,0.00043565
15,4571.75,0.91139,1.07484,1.32126,0.78225,0.61094,0.71057,0.52568,0.93875,1.01277,1.29481,0.0004307,0.0004307,0.0004307
16,4793.72,0.89597,1.04317,1.30903,0.78795,0.64017,0.72757,0.54688,0.90021,0.96376,1.25537,0.00042575,0.00042575,0.00042575
