epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.649,1.18989,2.03724,1.54932,0.33352,0.31082,0.25231,0.12493,1.71104,2.81583,2.29856,0.000368687,0.000368687,0.000368687
2,461.359,1.29906,1.87282,1.64877,0.39174,0.43947,0.34147,0.15428,1.72309,2.17394,2.31796,0.000731704,0.000731704,0.000731704
3,610.32,1.32021,1.89995,1.66516,0.35531,0.42592,0.27718,0.15159,1.51708,2.59327,1.9832,0.00108739,0.00108739,0.00108739
4,751.211,1.26657,1.80666,1.61774,0.44494,0.43905,0.40513,0.21051,1.78366,1.9573,2.4408,0.001078,0.001078,0.001078
5,899.064,1.21416,1.69964,1.57365,0.57297,0.52946,0.55708,0.37199,1.19952,1.48874,1.63759,0.001067,0.001067,0.001067
6,1045.88,1.17319,1.60687,1.54223,0.53879,0.48185,0.49166,0.33024,1.15562,1.60609,1.63162,0.00105601,0.00105601,0.00105601
7,1186.8,1.13829,1.51547,1.5152,0.64308,0.58855,0.63395,0.41089,1.17811,1.36,1.6291,0.00104501,0.00104501,0.00104501
8,1333.21,1.10822,1.45551,1.48571,0.64721,0.58897,0.64585,0.45765,0.99828,1.29254,1.47595,0.00103401,0.00103401,0.00103401
9,1479.47,1.08435,1.40859,1.47296,0.70889,0.61594,0.70006,0.49627,1.02286,1.12419,1.49149,0.00102301,0.00102301,0.00102301
10,1627.04,1.06195,1.34967,1.45997,0.72487,0.64074,0.71256,0.521,0.98966,1.07823,1.43575,0.00101201,0.00101201,0.00101201
11,1771.99,1.06534,1.3475,1.45398,0.70769,0.59458,0.68819,0.47675,1.08753,1.20843,1.46353,0.00100101,0.00100101,0.00100101
12,1913,1.03954,1.31807,1.43978,0.62906,0.63505,0.67918,0.49733,0.95042,1.37563,1.40526,0.000990012,0.000990012,0.000990012
13,2053.78,1.02989,1.2622,1.42508,0.69732,0.64615,0.70232,0.50973,0.97858,1.09349,1.39472,0.000979013,0.000979013,0.000979013
14,2194.67,1.01415,1.22911,1.41308,0.76111,0.64592,0.75457,0.55799,0.90434,1.01237,1.37495,0.000968014,0.000968014,0.000968014
15,2338.88,0.99402,1.18843,1.40539,0.75351,0.67663,0.74879,0.53683,1.00057,1.02687,1.4076,0.000957015,0.000957015,0.000957015
16,2480.02,0.98288,1.16364,1.39688,0.78914,0.68356,0.77636,0.591,0.86025,0.92356,1.30775,0.000946016,0.000946016,0.000946016
17,2626.1,0.99977,1.16611,1.40233,0.7292,0.67675,0.74812,0.54709,0.98481,1.08739,1.39128,0.000935018,0.000935018,0.000935018
18,2765.93,0.99682,1.18713,1.39628,0.73055,0.6496,0.75307,0.56725,0.88958,1.01203,1.31726,0.000924019,0.000924019,0.000924019
19,2908.16,0.97839,1.11868,1.38579,0.7616,0.6783,0.74991,0.57109,0.90243,0.95987,1.34793,0.00091302,0.00091302,0.00091302
20,3049.24,0.96245,1.11196,1.37722,0.77508,0.66646,0.77346,0.56953,0.95423,0.96014,1.35962,0.000902021,0.000902021,0.000902021
21,3189.99,0.94328,1.06314,1.35643,0.81513,0.69358,0.7869,0.59414,0.90493,0.89019,1.32157,0.000891022,0.000891022,0.000891022
22,3336.24,0.94002,1.03918,1.36257,0.74894,0.71584,0.78636,0.58679,0.90577,0.9147,1.31548,0.000880023,0.000880023,0.000880023
23,3477.65,0.93274,1.01802,1.34818,0.81523,0.69302,0.79836,0.61279,0.83628,0.88488,1.29304,0.000869024,0.000869024,0.000869024
24,3624.55,0.91056,0.99376,1.34002,0.82523,0.74723,0.82218,0.64153,0.80314,0.76881,1.248,0.000858025,0.000858025,0.000858025
25,3770,0.93609,0.99656,1.35269,0.78091,0.72476,0.80017,0.61549,0.82392,0.86257,1.26783,0.000847026,0.000847026,0.000847026
26,3911.51,0.9191,1.00102,1.3411,0.81971,0.75632,0.83087,0.63506,0.85411,0.76524,1.28653,0.000836027,0.000836027,0.000836027
27,4051.14,0.91362,0.96483,1.34036,0.79853,0.76052,0.83497,0.65383,0.78166,0.7566,1.25135,0.000825029,0.000825029,0.000825029
28,4197.69,0.90983,0.96565,1.33641,0.84764,0.7278,0.83114,0.64513,0.81435,0.78691,1.25958,0.00081403,0.00081403,0.00081403
29,4339.48,0.89892,0.95884,1.32208,0.83863,0.73962,0.82796,0.64251,0.83215,0.77473,1.25814,0.000803031,0.000803031,0.000803031
30,4480.98,0.89687,0.93195,1.31717,0.79262,0.73648,0.81405,0.63452,0.81106,0.83261,1.25111,0.000792032,0.000792032,0.000792032
31,4622.14,0.87274,0.90823,1.31252,0.85811,0.74116,0.84009,0.65477,0.79789,0.73993,1.25393,0.000781033,0.000781033,0.000781033
32,4768.29,0.88252,0.89032,1.31536,0.84688,0.7207,0.82992,0.64915,0.80193,0.76026,1.26439,0.000770034,0.000770034,0.000770034
33,4909.53,0.87533,0.89576,1.3162,0.83514,0.73668,0.8357,0.65773,0.79805,0.73958,1.27466,0.000759035,0.000759035,0.000759035
34,5056.16,0.87209,0.89325,1.30236,0.86008,0.75408,0.84877,0.65972,0.80886,0.73159,1.23065,0.000748036,0.000748036,0.000748036
35,5204.25,0.8729,0.87102,1.30529,0.83266,0.79089,0.85916,0.68186,0.76253,0.69636,1.20973,0.000737037,0.000737037,0.000737037
36,5349.5,0.85627,0.85019,1.28955,0.85126,0.75721,0.84713,0.67827,0.7471,0.70902,1.21203,0.000726038,0.000726038,0.000726038
37,5490.61,0.85212,0.85085,1.2901,0.87746,0.75339,0.85534,0.6801,0.7646,0.67754,1.19464,0.00071504,0.00071504,0.00071504
38,5631.92,0.84704,0.84189,1.29161,0.87656,0.73937,0.85392,0.67651,0.77121,0.68545,1.23256,0.000704041,0.000704041,0.000704041
39,5772.54,0.85106,0.83443,1.28784,0.83899,0.76208,0.83647,0.65976,0.7737,0.74773,1.23308,0.000693042,0.000693042,0.000693042
40,5914.81,0.84141,0.81559,1.28158,0.89168,0.75633,0.85512,0.6844,0.75449,0.69037,1.21664,0.000682043,0.000682043,0.000682043
41,6062.03,0.84505,0.81976,1.28388,0.85718,0.74094,0.84571,0.6803,0.75469,0.71042,1.20207,0.000671044,0.000671044,0.000671044
