epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.802,1.1728,1.89109,1.59035,0.52374,0.44281,0.38195,0.20177,1.57288,2.08646,2.10046,0.000369386,0.000369386,0.000369386
2,303.059,1.2098,1.65601,1.60874,0.52122,0.43274,0.41233,0.23346,1.48655,1.91078,1.93066,0.000730565,0.000730565,0.000730565
3,453.491,1.19712,1.64549,1.60274,0.59362,0.48982,0.52105,0.30919,1.33754,1.62271,1.79985,0.00108258,0.00108258,0.00108258
4,605.117,1.15249,1.57908,1.57187,0.66284,0.55354,0.60918,0.34962,1.44984,1.41495,1.93223,0.00106975,0.00106975,0.00106975
5,757.858,1.10823,1.49675,1.53208,0.65449,0.50091,0.56094,0.366,1.20472,1.5124,1.67715,0.00105601,0.00105601,0.00105601
6,909.055,1.07778,1.42758,1.51513,0.6852,0.58662,0.64088,0.44056,1.08106,1.23007,1.57443,0.00104226,0.00104226,0.00104226
7,1058.51,1.05197,1.35266,1.4836,0.69336,0.60673,0.65775,0.45804,1.08103,1.25944,1.55296,0.00102851,0.00102851,0.00102851
8,1208.15,1.02971,1.32339,1.46427,0.72537,0.64582,0.69506,0.47969,1.08269,1.14354,1.53986,0.00101476,0.00101476,0.00101476
9,1358.64,1.00127,1.26767,1.44383,0.74165,0.563,0.65326,0.46811,1.05356,1.20912,1.51494,0.00100101,0.00100101,0.00100101
10,1505.39,0.99718,1.24585,1.43889,0.76849,0.65443,0.73265,0.50724,1.08087,1.00558,1.50878,0.000987262,0.000987262,0.000987262
11,1656.6,0.97036,1.19657,1.41956,0.76169,0.67293,0.74001,0.52426,1.03074,0.99261,1.50066,0.000973514,0.000973514,0.000973514
12,1807.6,0.96049,1.1464,1.40943,0.7525,0.67743,0.73037,0.51908,1.01679,0.99735,1.45428,0.000959765,0.000959765,0.000959765
13,1951.94,0.94076,1.11467,1.39631,0.73875,0.6346,0.69793,0.48782,1.04294,1.12389,1.49361,0.000946016,0.000946016,0.000946016
14,2100.65,0.94495,1.10644,1.39911,0.79586,0.66714,0.7572,0.54571,1.00122,0.93176,1.44347,0.000932268,0.000932268,0.000932268
15,2251.61,0.93097,1.09438,1.38664,0.81906,0.66434,0.76302,0.57378,0.87271,0.90755,1.3346,0.000918519,0.000918519,0.000918519
16,2402.47,0.9309,1.06736,1.38876,0.79803,0.65657,0.73941,0.54085,0.98717,0.99236,1.45216,0.000904771,0.000904771,0.000904771
17,2550.97,0.91131,1.04037,1.37338,0.79658,0.67943,0.76361,0.57564,0.91071,0.91635,1.36485,0.000891022,0.000891022,0.000891022
18,2700.05,0.91131,1.03914,1.37095,0.802,0.69739,0.77195,0.59107,0.86461,0.88452,1.32103,0.000877273,0.000877273,0.000877273
19,2850.13,0.90572,1.01422,1.36827,0.81293,0.72455,0.79918,0.60413,0.90276,0.80484,1.35252,0.000863525,0.000863525,0.000863525
20,2998.28,0.89256,0.99573,1.35917,0.82865,0.70009,0.77529,0.58297,0.92398,0.88527,1.34587,0.000849776,0.000849776,0.000849776
21,3144.86,0.88679,0.97897,1.35346,0.78831,0.72322,0.79054,0.59356,0.89289,0.83085,1.34852,0.000836027,0.000836027,0.000836027
22,3291.19,0.86958,0.95668,1.34633,0.81081,0.70916,0.78855,0.60136,0.87479,0.84528,1.31953,0.000822279,0.000822279,0.000822279
23,3438.15,0.87485,0.93178,1.34397,0.83882,0.70547,0.78418,0.601,0.88434,0.82541,1.33554,0.00080853,0.00080853,0.00080853
24,3588.49,0.86629,0.94094,1.33825,0.84269,0.7127,0.80686,0.61133,0.8929,0.78765,1.33165,0.000794782,0.000794782,0.000794782
25,3737.11,0.86531,0.92439,1.33737,0.85044,0.71384,0.81172,0.62376,0.86825,0.77796,1.30651,0.000781033,0.000781033,0.000781033
26,3887.12,0.85258,0.91028,1.32766,0.80321,0.73341,0.79736,0.60236,0.92586,0.83052,1.35338,0.000767284,0.000767284,0.000767284
27,4037.79,0.8458,0.88565,1.32354,0.84638,0.72315,0.8099,0.63083,0.85396,0.77873,1.3028,0.000753536,0.000753536,0.000753536
28,4189.68,0.85051,0.89806,1.32354,0.85457,0.73054,0.80921,0.63573,0.82885,0.76667,1.28308,0.000739787,0.000739787,0.000739787
29,4340.99,0.82711,0.86625,1.30541,0.85115,0.71761,0.79749,0.61736,0.86851,0.7714,1.29932,0.000726038,0.000726038,0.000726038
30,4490.66,0.84471,0.86856,1.31922,0.83451,0.72914,0.80949,0.62273,0.86425,0.75711,1.30186,0.00071229,0.00071229,0.00071229
31,4638.88,0.83751,0.86369,1.31793,0.85469,0.72796,0.82052,0.64054,0.83612,0.74486,1.27473,0.000698541,0.000698541,0.000698541
32,4788.8,0.82295,0.83908,1.30093,0.82849,0.71983,0.80655,0.63165,0.83567,0.77229,1.27665,0.000684793,0.000684793,0.000684793
33,4934.77,0.8172,0.83245,1.30103,0.82504,0.73876,0.81753,0.63344,0.8384,0.75649,1.27939,0.000671044,0.000671044,0.000671044
34,5080.05,0.81655,0.82655,1.29883,0.84181,0.73916,0.81673,0.6437,0.81128,0.73486,1.25963,0.000657295,0.000657295,0.000657295
35,5227.56,0.82043,0.83464,1.29531,0.85819,0.72802,0.82391,0.63922,0.83941,0.72909,1.27819,0.000643547,0.000643547,0.000643547
36,5372.24,0.81291,0.82674,1.29503,0.85824,0.74083,0.81661,0.62941,0.85822,0.74613,1.29539,0.000629798,0.000629798,0.000629798
37,5517.31,0.79878,0.79166,1.28886,0.86022,0.7375,0.81952,0.65533,0.79213,0.7275,1.24412,0.000616049,0.000616049,0.000616049
